"OriginalLocationID","LocationID","Datetime","SULFATE DATA"
"AJ01","AJ01","5/13/1980","28"
"AJ01","AJ01","2/26/1981","91"
"AJ02","ABRN01","5/13/1980","27"
"AJ02","ABRN01","2/26/1981","50"
"AJ03","ABR070","5/13/1980","19"
"AJ03","ABR070","2/26/1981","24"
"AJ04","HAB001","5/13/1980","34"
"AJ04","HAB001","2/26/1981","41"
"AJ05","ABR049","5/13/1980","50"
"AJ05","ABR049","2/26/1981","116"
"AJ06","ABR036","5/13/1980","45"
"AJ06","ABR036","2/26/1981","89"
"AJ07","ABR028","5/13/1980","34"
"AJ07","ABR028","2/26/1981","76"
"AJ08","ABR017","5/13/1980","36"
"AJ08","ABR017","2/26/1981","70"
"AJ10","ABR006","5/13/1980","33"
"AJ10","ABR006","2/26/1981","59"
"AJ11","ABR001","5/13/1980","36"
"AJ11","ABR001","2/26/1981","59"
"MY10","UPL001","5/13/1980","34"
"MY10","UPL001","2/26/1981","43"
"MY11","MYR071","5/13/1980","29"
"MY11","MYR071","2/26/1981","38"
"MY12","MIB001","5/13/1980","11"
"MY12","MIB001","2/26/1981","19"
"MY13","MWRA070","5/13/1980","20"
"MY13","MWRA070","2/26/1981","18"
"MY14","MWRA172","5/13/1980","25"
"MY15","MWRA061","2/26/1981","28"
"MY16A","MYR39","2/26/1981","37"
"MY17A","MAR036","2/26/1981","19"
"MY18","MWRA059","2/26/1981","126"
"HB01","HAB0015","5/13/1980","75"
"HB01","HAB0015","2/26/1981","91"
"HB02","HAB002","5/13/1980","18"
"HB02","HAB002","2/26/1981","24"
"AJT02","SWBB","5/13/1980","13"
"AJT02","SWBB","2/26/1981","19"
"AJT03","HOB103","2/26/1981","18"
"AJT04","SHBTRIB","2/26/1981","22"
"AJT05","CUBLEX","2/26/1981","22"
"HBT01","HBT01","5/13/1980","25"
"HBT01","HBT01","2/26/1981","14"
"HBT02","HBT02","5/13/1980","1000"
"HBT02","HBT02","2/26/1981","378"
"HBT03","HBT03","5/13/1980","43"
"HBT03","HBT03","2/26/1981","386"
"HBT05","HBT05","5/13/1980","450"
"HBT05","HBT05","2/26/1981","236"
"HBT06","HBT06","5/13/1980","32"
"HBT06","HBT06","2/26/1981","89"
"HBT07","HBT07","5/13/1980","175"
"HBT07","HBT07","2/26/1981","26"
"HBT08","HBT08","5/13/1980","225"
"HBT08","HBT08","2/26/1981","184"
