"OriginalLocationID","LocationID","Datetime","TOTAL KJELDAHL-NITROGEN DATA"
"AJ01","AJ01","8/6/79","172"
"AJ01","AJ01","12/12/79","47"
"AJ01","AJ01","5/13/80","4.2"
"AJ01","AJ01","10/28/80","4.1"
"AJ01","AJ01","2/26/81","3.1"
"AJ02","ABRN01","6/27/79","56"
"AJ02","ABRN01","8/6/79","135"
"AJ02","ABRN01","12/12/79","49"
"AJ02","ABRN01","5/13/80","4.2"
"AJ02","ABRN01","10/28/80","10"
"AJ02","ABRN01","2/26/81","3"
"AJ02","ABRN01","7/29/81","2.2"
"AJ03","ABR070","6/27/79","1.8"
"AJ03","ABR070","8/6/79","1.3"
"AJ03","ABR070","12/12/79","0.75"
"AJ03","ABR070","5/13/80","1"
"AJ03","ABR070","10/28/80","1.5"
"AJ03","ABR070","2/26/81","1.1"
"AJ03","ABR070","7/29/81","0.79"
"AJ04","HAB001","6/27/79","17"
"AJ04","HAB001","8/6/79","24"
"AJ04","HAB001","12/12/79","19"
"AJ04","HAB001","5/13/80","3.4"
"AJ04","HAB001","10/28/80","9.6"
"AJ04","HAB001","2/26/81","2.4"
"AJ04","HAB001","7/29/81","4"
"AJ05","ABR049","6/27/79","13"
"AJ05","ABR049","8/6/79","8.4"
"AJ05","ABR049","12/12/79","16"
"AJ05","ABR049","5/13/80","4.6"
"AJ05","ABR049","10/28/80","8.9"
"AJ05","ABR049","2/26/81","8.3"
"AJ05","ABR049","7/29/81","5.8"
"AJ06","ABR036","6/27/79","10"
"AJ06","ABR036","8/6/79","4.9"
"AJ06","ABR036","12/12/79","12"
"AJ06","ABR036","5/13/80","4.3"
"AJ06","ABR036","10/28/80","7.1"
"AJ06","ABR036","2/26/81","6.1"
"AJ06","ABR036","7/29/81","4.5"
"AJ07","ABR028","6/27/79","8"
"AJ07","ABR028","8/6/79","8.3"
"AJ07","ABR028","12/12/79","10"
"AJ07","ABR028","5/13/80","3"
"AJ07","ABR028","10/28/80","6.3"
"AJ07","ABR028","2/26/81","5.9"
"AJ07","ABR028","7/29/81","5"
"AJ08","ABR017","6/27/79","6.4"
"AJ08","ABR017","8/6/79","3.8"
"AJ08","ABR017","12/12/79","9"
"AJ08","ABR017","5/13/80","3"
"AJ08","ABR017","10/28/80","6.3"
"AJ08","ABR017","2/26/81","4.5"
"AJ08","ABR017","7/29/81","3.4"
"AJ10","ABR006","6/27/79","3"
"AJ10","ABR006","8/6/79","1.9"
"AJ10","ABR006","12/12/79","7.1"
"AJ10","ABR006","5/13/80","2.7"
"AJ10","ABR006","10/28/80","5.5"
"AJ10","ABR006","2/26/81","4.2"
"AJ10","ABR006","7/29/81","2.9"
"AJ11","ABR001","12/12/79","6.6"
"AJ11","ABR001","5/13/80","2.7"
"AJ11","ABR001","2/26/81","4.4"
"AJ11","ABR001","7/29/81","2"
"MY10","UPL001","6/27/79","3.1"
"MY10","UPL001","8/6/79","1.5"
"MY10","UPL001","12/12/79","2.9"
"MY10","UPL001","5/13/80","4.7"
"MY10","UPL001","10/28/80","2.5"
"MY10","UPL001","2/26/81","3.2"
"MY10","UPL001","7/29/81","1.4"
"MY11","MYR071","6/27/79","3.3"
"MY11","MYR071","8/6/79","1.2"
"MY11","MYR071","12/12/79","2.4"
"MY11","MYR071","5/13/80","2.4"
"MY11","MYR071","10/28/80","2.7"
"MY11","MYR071","2/26/81","1.7"
"MY11","MYR071","7/29/81","1"
"MY12","MIB001","6/27/79","1.5"
"MY12","MIB001","8/6/79","1.1"
"MY12","MIB001","12/12/79","1.1"
"MY12","MIB001","5/13/80","1.6"
"MY12","MIB001","10/28/80","1.8"
"MY12","MIB001","2/26/81","1.1"
"MY12","MIB001","7/29/81","0.93"
"MY13","MWRA070","6/27/79","3.2"
"MY13","MWRA070","8/6/79","1.9"
"MY13","MWRA070","5/13/80","1.7"
"MY13","MWRA070","10/28/80","2.6"
"MY13","MWRA070","2/26/81","1.8"
"MY13","MWRA070","7/29/81","1.4"
"MY14","MWRA172","5/13/80","3.9"
"MY14","MWRA172","7/29/81","1.3"
"MY15","MWRA061","6/27/79","3"
"MY15","MWRA061","8/6/79","1.8"
"MY15","MWRA061","10/28/80","2.3"
"MY15","MWRA061","2/26/81","1.4"
"MY15","MWRA061","7/29/81","1.6"
"MY16A","MYR39","2/26/81","7.1"
"MY17A","MAR036","6/27/79","2.9"
"MY17A","MAR036","8/6/79","2.5"
"MY17A","MAR036","10/28/80","2.2"
"MY17A","MAR036","2/26/81","2.3"
"MY17A","MAR036","7/29/81","1.5"
"MY18","MWRA059","6/27/79","3.3"
"MY18","MWRA059","8/6/79","2.4"
"MY18","MWRA059","10/28/80","2.6"
"MY18","MWRA059","2/26/81","1.8"
"MY18","MWRA059","7/29/81","2"
"HB01","HAB0015","6/27/79","17"
"HB01","HAB0015","8/6/79","18"
"HB01","HAB0015","12/12/79","13"
"HB01","HAB0015","5/13/80","1.8"
"HB01","HAB0015","10/28/80","11"
"HB01","HAB0015","2/26/81","10"
"HB01","HAB0015","7/29/81","23"
"HB02","HAB002","6/27/79","1.6"
"HB02","HAB002","8/6/79","1.5"
"HB02","HAB002","12/12/79","0.89"
"HB02","HAB002","5/13/80","1"
"HB02","HAB002","10/28/80","1.8"
"HB02","HAB002","2/26/81","0.92"
"HB02","HAB002","7/29/81","1.2"
"AJT02","SWBB","6/27/79","6"
"AJT02","SWBB","8/6/79","2.2"
"AJT02","SWBB","12/12/79","0.76"
"AJT02","SWBB","5/13/80","2.7"
"AJT02","SWBB","10/28/80","14"
"AJT02","SWBB","2/26/81","0.96"
"AJT02","SWBB","7/29/81","2.9"
"AJT03","HOB103","5/13/80","2.8"
"AJT03","HOB103","2/26/81","0.6"
"AJT04","SHBTRIB","10/28/80","1"
"AJT04","SHBTRIB","2/26/81","0.8"
"AJT04","SHBTRIB","7/29/81","0.24"
"AJT05","CUBLEX","10/28/80","1.1"
"AJT05","CUBLEX","2/26/81","0.96"
"AJT05","CUBLEX","7/29/81","0.28"
"HBT01","HBT01","6/27/79","1.3"
"HBT01","HBT01","12/12/79","1.1"
"HBT01","HBT01","5/13/80","1"
"HBT01","HBT01","10/28/80","1.8"
"HBT01","HBT01","2/26/81","0.54"
"HBT01","HBT01","7/29/81","0.35"
"HBT02","HBT02","6/27/79","58"
"HBT02","HBT02","12/12/79","143"
"HBT02","HBT02","5/13/80","168"
"HBT02","HBT02","10/28/80","153"
"HBT02","HBT02","2/26/81","78"
"HBT02","HBT02","7/29/81","350"
"HBT03","HBT03","5/13/80","8.5"
"HBT03","HBT03","10/28/80","67"
"HBT03","HBT03","2/26/81","89"
"HBT05","HBT05","6/27/79","52"
"HBT05","HBT05","8/6/79","23"
"HBT05","HBT05","12/12/79","67"
"HBT05","HBT05","5/13/80","181"
"HBT05","HBT05","10/28/80","67"
"HBT05","HBT05","2/26/81","38"
"HBT05","HBT05","7/29/81","68"
"HBT06","HBT06","6/27/79","40"
"HBT06","HBT06","8/6/79","33"
"HBT06","HBT06","12/12/79","50"
"HBT06","HBT06","5/13/80","27"
"HBT06","HBT06","10/28/80","59"
"HBT06","HBT06","2/26/81","12"
"HBT06","HBT06","7/29/81","63"
"HBT07","HBT07","5/13/80","29"
"HBT07","HBT07","10/28/80","23"
"HBT07","HBT07","2/26/81","2.6"
"HBT08","HBT08","6/27/79","34"
"HBT08","HBT08","8/6/79","34"
"HBT08","HBT08","12/12/79","51"
"HBT08","HBT08","5/13/80","66"
"HBT08","HBT08","10/28/80","50"
"HBT08","HBT08","2/26/81","25"
"HBT08","HBT08","7/29/81","63"
