"OriginalLocationID","LocationID","Datetime","NITRATE-NITROGEN DATA  "
"AJ01","AJ01","8/6/79","0.3"
"AJ01","AJ01","12/12/79","0.6"
"AJ01","AJ01","5/13/80","0.4"
"AJ01","AJ01","10/28/80","0.6"
"AJ01","AJ01","2/26/81","0.7"
"AJ02","ABRN01","6/27/79","0.7"
"AJ02","ABRN01","8/6/79","0.8"
"AJ02","ABRN01","12/12/79","0.6"
"AJ02","ABRN01","5/13/80","0.5"
"AJ02","ABRN01","10/28/80","0.9"
"AJ02","ABRN01","2/26/81","0.7"
"AJ02","ABRN01","7/29/81","0.5"
"AJ03","ABR070","6/27/79","0.1"
"AJ03","ABR070","8/6/79","0.1"
"AJ03","ABR070","12/12/79","0.7"
"AJ03","ABR070","5/13/80","0.5"
"AJ03","ABR070","10/28/80","0.3"
"AJ03","ABR070","2/26/81","0.9"
"AJ03","ABR070","7/29/81","0.1"
"AJ04","HAB001","6/27/79","0.6"
"AJ04","HAB001","8/6/79","1"
"AJ04","HAB001","12/12/79","0.7"
"AJ04","HAB001","5/13/80","0.7"
"AJ04","HAB001","10/28/80","0.9"
"AJ04","HAB001","2/26/81","0.7"
"AJ04","HAB001","7/29/81","0.9"
"AJ05","ABR049","6/27/79","0.9"
"AJ05","ABR049","8/6/79","1.5"
"AJ05","ABR049","12/12/79","1.4"
"AJ05","ABR049","5/13/80","1"
"AJ05","ABR049","10/28/80","0.9"
"AJ05","ABR049","2/26/81","0.7"
"AJ05","ABR049","7/29/81","1.3"
"AJ06","ABR036","6/27/79","1.4"
"AJ06","ABR036","8/6/79","3"
"AJ06","ABR036","12/12/79","1.6"
"AJ06","ABR036","5/13/80","1.3"
"AJ06","ABR036","10/28/80","1"
"AJ06","ABR036","2/26/81","1"
"AJ06","ABR036","7/29/81","1.4"
"AJ07","ABR028","6/27/79","1.8"
"AJ07","ABR028","8/6/79","3.6"
"AJ07","ABR028","12/12/79","3.5"
"AJ07","ABR028","5/13/80","1.2"
"AJ07","ABR028","10/28/80","1.2"
"AJ07","ABR028","2/26/81","1.5"
"AJ07","ABR028","7/29/81","1.9"
"AJ08","ABR017","6/27/79","2"
"AJ08","ABR017","8/6/79","3"
"AJ08","ABR017","12/12/79","1.9"
"AJ08","ABR017","5/13/80","1.3"
"AJ08","ABR017","10/28/80","1.1"
"AJ08","ABR017","2/26/81","1"
"AJ08","ABR017","7/29/81","1.4"
"AJ10","ABR006","6/27/79","1.6"
"AJ10","ABR006","8/6/79","2.5"
"AJ10","ABR006","12/12/79","1.4"
"AJ10","ABR006","5/13/80","5.2"
"AJ10","ABR006","10/28/80","1.1"
"AJ10","ABR006","2/26/81","1.2"
"AJ10","ABR006","7/29/81","3"
"AJ11","ABR001","12/12/79","1.6"
"AJ11","ABR001","5/13/80","1.3"
"AJ11","ABR001","2/26/81","1"
"AJ11","ABR001","7/29/81","2.6"
"MY10","UPL001","6/27/79","1.2"
"MY10","UPL001","8/6/79","1.2"
"MY10","UPL001","12/12/79","1.6"
"MY10","UPL001","5/13/80","1.3"
"MY10","UPL001","10/28/80","1"
"MY10","UPL001","2/26/81","1.7"
"MY10","UPL001","7/29/81","1.5"
"MY11","MYR071","6/27/79","1.1"
"MY11","MYR071","8/6/79","1"
"MY11","MYR071","12/12/79","1.1"
"MY11","MYR071","5/13/80","1.5"
"MY11","MYR071","10/28/80","0.5"
"MY11","MYR071","2/26/81","1"
"MY11","MYR071","7/29/81","1.3"
"MY12","MIB001","6/27/79","1.1"
"MY12","MIB001","8/6/79","0.9"
"MY12","MIB001","12/12/79","1.8"
"MY12","MIB001","5/13/80","1.3"
"MY12","MIB001","10/28/80","0.7"
"MY12","MIB001","2/26/81","1.2"
"MY12","MIB001","7/29/81","0.9"
"MY13","MWRA070","6/27/79","0.5"
"MY13","MWRA070","8/6/79","0.6"
"MY13","MWRA070","5/13/80","1"
"MY13","MWRA070","10/28/80","0.4"
"MY13","MWRA070","2/26/81","1"
"MY13","MWRA070","7/29/81","0.8"
"MY14","MWRA172","5/13/80","0.8"
"MY14","MWRA172","7/29/81","0.1"
"MY15","MWRA061","6/27/79","1"
"MY15","MWRA061","8/6/79","0.2"
"MY15","MWRA061","10/28/80","0.5"
"MY15","MWRA061","2/26/81","1.1"
"MY15","MWRA061","7/29/81","0.8"
"MY16A","MYR39","2/26/81","3.5"
"MY17A","MAR036","6/27/79","0.4"
"MY17A","MAR036","8/6/79","0.4"
"MY17A","MAR036","10/28/80","0.4"
"MY17A","MAR036","2/26/81","1.2"
"MY17A","MAR036","7/29/81","0.2"
"MY18","MWRA059","6/27/79","0.3"
"MY18","MWRA059","8/6/79","0.1"
"MY18","MWRA059","10/28/80","0.2"
"MY18","MWRA059","2/26/81","0.5"
"MY18","MWRA059","7/29/81","0"
"HB01","HAB0015","6/27/79","0.4"
"HB01","HAB0015","8/6/79","0.5"
"HB01","HAB0015","12/12/79","0.9"
"HB01","HAB0015","5/13/80","16"
"HB01","HAB0015","10/28/80","1"
"HB01","HAB0015","2/26/81","1.3"
"HB01","HAB0015","7/29/81","0.7"
"HB02","HAB002","6/27/79","0.2"
"HB02","HAB002","8/6/79","0.2"
"HB02","HAB002","12/12/79","0.6"
"HB02","HAB002","5/13/80","0.1"
"HB02","HAB002","10/28/80","0.4"
"HB02","HAB002","2/26/81","0.7"
"HB02","HAB002","7/29/81","0.1"
